City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
250,Lithgow,-33.4833,150.15,66.47,59,100,14.63,AU,light rain
251,Merauke,-8.4667,140.3333,81.34,80,100,8.19,ID,heavy intensity rain
252,Sarkand,45.41,79.9186,19.27,49,0,5.57,KZ,clear sky
253,Richards Bay,-28.783,32.0377,60.91,92,100,4.94,ZA,light rain
254,Codrington,-38.2667,141.9667,58.59,50,13,10.54,AU,few clouds
255,Port Macquarie,-31.4333,152.9167,78.89,69,100,3.85,AU,overcast clouds
256,Mao,39.8885,4.2658,55.96,94,75,6.91,ES,broken clouds
257,Norman Wells,65.282,-126.8329,1.44,85,75,4.61,CA,light snow
258,Roma,43.2128,-75.4557,37.26,87,1,3.44,US,clear sky
259,Sobolevo,54.4299,31.8996,45.7,89,100,22.08,RU,overcast clouds
260,Chagoda,59.164,35.3285,32.29,99,100,3.49,RU,light snow
261,Half Moon Bay,37.4636,-122.4286,61.03,91,90,5.75,US,overcast clouds
262,Srednekolymsk,67.45,153.6833,-0.72,97,100,2.77,RU,light snow
263,Marsa Matruh,31.3525,27.2453,61.0,94,75,17.27,EG,broken clouds
264,Huron,41.1501,-82.5499,33.69,80,97,5.97,US,overcast clouds
265,Dolores,-36.3132,-57.6792,51.57,92,0,7.49,AR,clear sky
266,Mastic Beach,40.7668,-72.8521,43.54,60,75,3.0,US,broken clouds
267,Saint-Augustin,51.226,-58.6502,37.78,88,100,12.17,CA,overcast clouds
268,Rio Grande,-32.035,-52.0986,59.95,67,0,9.71,BR,clear sky
269,Biu,10.6129,12.1946,71.92,23,11,6.96,NG,few clouds
270,Eureka,40.8021,-124.1637,53.67,77,83,9.31,US,broken clouds
271,Cherusti,55.5498,40.0107,32.59,97,100,11.61,RU,snow
272,Tabou,4.423,-7.3528,79.47,87,21,5.3,CI,few clouds
273,Indramayu,-6.3264,108.32,82.33,69,100,0.51,ID,overcast clouds
274,Van,38.4924,43.3831,33.15,75,75,3.44,TR,broken clouds
275,Waddan,29.1614,16.139,64.27,79,100,10.54,LY,overcast clouds
276,Fort Nelson,58.8053,-122.7002,-0.81,85,20,4.61,CA,few clouds
277,Araceli,10.5529,119.9913,82.56,76,99,9.4,PH,moderate rain
278,Nioro,13.35,-15.75,77.74,50,91,5.91,GM,overcast clouds
279,Port Hedland,-20.3167,118.5667,96.85,34,48,8.05,AU,scattered clouds
280,Vallenar,-28.5708,-70.7581,63.19,64,0,2.17,CL,clear sky
281,Pak Phanang,8.3511,100.202,86.02,80,100,2.13,TH,overcast clouds
282,Coquimbo,-29.9533,-71.3436,58.73,82,90,5.75,CL,overcast clouds
283,Stoneham,42.4801,-71.0995,40.48,54,20,3.0,US,few clouds
284,Atar,20.5169,-13.0499,77.45,32,98,4.94,MR,overcast clouds
285,Kutum,14.2,24.6667,63.52,28,0,9.26,SD,clear sky
286,Sechura,-5.5569,-80.8222,65.34,84,100,15.35,PE,overcast clouds
287,Tarrafal,15.2833,-23.7667,77.79,82,100,10.25,CV,overcast clouds
288,Edson,53.5835,-116.4356,28.54,69,1,5.75,CA,clear sky
289,Chapais,49.7834,-74.8492,20.98,85,100,10.78,CA,overcast clouds
290,Vilhena,-12.7406,-60.1458,66.49,99,100,1.45,BR,overcast clouds
291,Kamina,-8.7386,24.9906,62.91,95,100,3.06,CD,overcast clouds
292,Lahaina,20.8783,-156.6825,84.2,80,17,7.58,US,few clouds
293,Grindavik,63.8424,-22.4338,37.9,93,40,18.41,IS,scattered clouds
